종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
049720,고려신용정보,"3,015","15","0.50","3,015","3,010","35,725","107,518,050","3,030","3,035","3,000","500",원(KRW),"14,300,000","43,114,500,000",
010130,고려아연,"497,500","-2,500","0.50","498,500","497,500","28,733","14,330,475,000","500,000","503,000","495,500","5,000",원(KRW),"18,870,000","9,387,825,000,000",
002240,고려제강,"28,400","-150","0.53","28,450","28,400","15,715","445,642,850","28,450","28,600","28,050","1,000",원(KRW),"20,000,000","568,000,000,000",
014570,고려제약,"11,550","100","0.87","11,550","11,500","865,956","10,081,846,250","11,450","11,950","11,300","500",원(KRW),"11,000,000","127,050,000,000",
098460,고영,"93,700","2,300","2.52","93,700","93,500","60,722","5,675,432,300","91,900","93,900","91,500","500",원(KRW),"13,685,951","1,282,373,608,700",
038530,골드퍼시픽,"5,530","450","8.86","5,530","5,520","451,806","2,489,127,430","5,080","5,860","4,995","500",원(KRW),"6,655,713","36,806,092,890",
227950,골든브릿지제4호스팩,"2,015","5","0.25","2,015","2,010","21,623","43,394,280","2,010","2,015","2,005","100",원(KRW),"7,550,000","15,213,250,000",
001290,골든브릿지증권,"3,600","30","0.84","3,600","3,590","5,399,675","20,089,666,280","3,670","3,965","3,465","1,000",원(KRW),"50,693,589","182,496,920,400",
900280,골든센츄리,"1,035","30","0.00","1,035","1,030","1,657,889","1,723,867,935","1,035","1,065","1,020","0.2",미국달러(USD),"93,400,000","96,669,000,000",
215000,골프존,"46,500","1,150","2.54","46,500","46,400","6,944","320,358,250","46,800","46,800","45,600","500",원(KRW),"6,275,415","291,806,797,500",
121440,골프존뉴딘,"5,920","120","2.07","5,920","5,900","143,421","843,431,580","5,810","5,950","5,810","500",원(KRW),"42,836,818","253,593,962,560",
076340,관악산업,"4,995","-75","1.48","4,995","4,615","74","374,290","5,820","5,820","4,995","500",원(KRW),"4,871,460","24,332,942,700",
009290,광동제약,"9,320","120","1.30","9,320","9,310","104,542","972,604,290","9,230","9,400","9,200","1,000",원(KRW),"52,420,851","488,562,331,320",
014200,광림,"3,665","75","2.09","3,680","3,665","322,787","1,181,738,710","3,580","3,710","3,580","500",원(KRW),"48,498,486","177,746,951,190",
017040,광명전기,"3,285","205","6.66","3,290","3,285","26,529,588","92,508,894,680","3,585","3,700","3,280","500",원(KRW),"43,337,615","142,364,065,275",
017900,광전자,"3,155","30","0.96","3,160","3,155","58,866","186,584,010","3,130","3,220","3,130","500",원(KRW),"57,943,763","182,812,572,265",
037710,광주신세계,"221,000","4,500","2.08","221,000","219,000","292","64,041,000","216,000","222,000","215,500","5,000",원(KRW),"1,600,000","353,600,000,000",
192530,광주은행,"11,700","250","2.18","11,700","11,550","97,743","1,126,479,550","11,450","11,700","11,350","5,000",원(KRW),"51,316,057","600,397,866,900",
026910,광진실업,"4,135","85","2.10","4,135","4,130","75,777","310,450,260","4,050","4,195","4,040","500",원(KRW),"6,405,405","26,486,349,675",
090150,광진윈텍,"2,770","30","1.09","2,770","2,750","32,515","90,042,105","2,795","2,800","2,730","500",원(KRW),"9,658,393","26,753,748,610",
223040,교보5호스팩,"2,030","5","0.25","2,030","2,025","5,230","10,587,845","2,025","2,030","2,020","100",원(KRW),"5,430,000","11,022,900,000",
267320,교보7호스팩,"2,040","-10","0.49","2,040","2,035","10,280","20,683,170","2,010","2,045","2,010","100",원(KRW),"4,020,000","8,200,800,000",
242040,교보비엔케이스팩,"2,000","30","0.00","2,005","2,000","8,399","16,798,000","2,000","2,000","2,000","100",원(KRW),"7,110,000","14,220,000,000",
030610,교보증권,"10,550","300","2.93","10,550","10,500","162,932","1,713,583,250","10,300","10,650","10,200","5,000",원(KRW),"36,000,000","379,800,000,000",
223220,구름게임즈앤컴퍼니,"1,280","-60","4.48","1,280","0","338","390,110","1,300","1,390","1,140","500",원(KRW),"6,377,070","8,162,649,600",
053270,구영테크,"1,900","10","0.53","1,900","1,885","44,876","84,748,860","1,905","1,905","1,875","500",원(KRW),"19,794,174","37,608,930,600",
007690,국도화학,"59,200","30","0.00","59,400","59,200","17,934","1,071,148,500","59,300","60,300","58,800","5,000",원(KRW),"5,810,616","343,988,467,200",
